Disease,Symptoms,Severity,Recommended_Treatment,Precautions,Description
Hyperthyroidism,"intense rapid heartbeat, severe anxiety, worsening difficulty sleeping, sweating",Severe,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Hepatitis C,"mild confusion, slight bleeding easily, fluid buildup in abdomen, slight fatigue, jaundice, spider-like blood vessels",Mild,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Typhoid,"stomach pain, diarrhea or constipation, sustained high fever, weakness",Moderate,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Common Cold,"mild runny nose, congestion, occasional mild fever, sneezing, cough",Mild,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Tuberculosis,"blood in sputum, night sweats, fatigue, persistent cough, chest pain, weight loss, fever",Moderate,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Depression,"feelings of worthlessness, sleep changes, thoughts of death, extreme fatigue",Severe,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Asthma,"occasional coughing, chest tightness, slight difficulty breathing",Mild,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Bronchitis,"slight wheezing, mild fever, fatigue, mucus production, chest discomfort",Mild,"Rest, fluids, expectorants, bronchodilators if wheezing, avoid smoke and irritants, antibiotics if bacterial","Avoid smoking and secondhand smoke, use humidifier, stay hydrated, avoid cold air, flu vaccination","Inflammation of the bronchial tubes causing cough and mucus production, acute or chronic."
Dengue,"bleeding, severe headache, vomiting, nausea, joint pain, muscle pain, pain behind eyes",Moderate,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Food Poisoning,"fever, vomiting, nausea, stomach cramps, weakness",Moderate,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
Diabetes,"slow healing wounds, fatigue, excessive thirst, frequent urination, occasional numbness in extremities",Mild,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Asthma,"wheezing, coughing, chest tightness, shortness of breath",Moderate,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Osteoporosis,"decreased mobility, occasional back pain, loss of height, slight stooped posture, bone fractures easily, mild shortness of breath",Mild,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Gastroenteritis,"vomiting, headache, stomach cramps",Moderate,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Malaria,"worsening nausea, chills, headache, worsening vomiting",Severe,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Flu,"extreme sore throat, worsening high fever, fatigue, severe body aches, chills, intense weakness",Severe,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Asthma,"coughing, extreme difficulty breathing, wheezing, worsening chest tightness",Severe,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Migraine,"extreme sensitivity to light, visual aura, worsening throbbing pain, severe headache, sensitivity to sound, nausea, vomiting",Severe,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Hypothyroidism,"occasional fatigue, depression, slow heart rate, occasional hair loss, dry skin",Mild,"Levothyroxine hormone replacement, regular TSH monitoring, adjust dosage, lifestyle modifications","Regular thyroid function tests, consistent medication timing, avoid excess iodine, balanced diet, regular exercise","Underactive thyroid gland producing insufficient thyroid hormones, affecting metabolism and energy levels."
Anxiety Disorder,"irritability, panic attacks, sleep disturbances, sweating",Moderate,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Bronchitis,"mild fever, mucus production, fatigue, chest discomfort, persistent cough, shortness of breath",Mild,"Rest, fluids, expectorants, bronchodilators if wheezing, avoid smoke and irritants, antibiotics if bacterial","Avoid smoking and secondhand smoke, use humidifier, stay hydrated, avoid cold air, flu vaccination","Inflammation of the bronchial tubes causing cough and mucus production, acute or chronic."
Flu,"cough, high fever, headache, intense chills",Severe,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Typhoid,"sustained high fever, rose spots on chest, stomach pain, loss of appetite, weakness, diarrhea or constipation, headache",Moderate,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Hypertension,"chest pain, nosebleeds, slight dizziness, flushing",Mild,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Gastroenteritis,"stomach cramps, diarrhea, vomiting, mild fever, nausea, loss of appetite, headache",Moderate,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Urinary Tract Infection,"fever, burning during urination, pelvic pain, urgent urination",Severe,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Diabetes,"excessive thirst, slow healing wounds, occasional blurred vision, occasional unexplained weight loss, occasional frequent urination",Mild,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Malaria,"severe headache, sweating, jaundice",Severe,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Flu,"sore throat, headache, fatigue",Moderate,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Anxiety Disorder,"slight sweating, occasional muscle tension, restlessness, occasional irritability, panic attacks",Mild,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Jaundice,"fever, confusion, persistent dark urine, abdominal pain",Severe,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Hypothyroidism,"slight weight gain, hair loss, slow heart rate, dry skin",Mild,"Levothyroxine hormone replacement, regular TSH monitoring, adjust dosage, lifestyle modifications","Regular thyroid function tests, consistent medication timing, avoid excess iodine, balanced diet, regular exercise","Underactive thyroid gland producing insufficient thyroid hormones, affecting metabolism and energy levels."
Dengue,"worsening bleeding, pain behind eyes, muscle pain, nausea, extreme vomiting, rash, high fever",Severe,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Common Cold,"congestion, slight mild fever, headache, sore throat, sneezing, cough",Mild,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Hyperthyroidism,"heat sensitivity, sweating, rapid heartbeat, irritability, diarrhea, tremor",Moderate,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Hyperthyroidism,"diarrhea, sweating, mild irritability, anxiety, occasional difficulty sleeping, mild bulging eyes, weight loss",Mild,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Arthritis,"fever, morning stiffness, warmth around joints, joint stiffness, reduced range of motion, occasional fatigue",Mild,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Hepatitis C,"fatigue, bleeding easily, jaundice, fluid buildup in abdomen, swelling in legs, easy bruising, spider-like blood vessels",Moderate,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Arthritis,"fatigue, joint pain, joint swelling, joint stiffness, warmth around joints, morning stiffness",Moderate,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Gastroenteritis,"nausea, stomach cramps, severe vomiting",Severe,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
